EventParticipantId,TrainingEventId,EmployeeId,RegisteredAt,ParticipantStatus,AttendanceStatus,CompletionDate,Score,Result
1,5001,1676,2026-02-04 14:15:00,Completed,Attended,2026-03-27,57,Failed
2,5001,1556,2026-01-31 08:30:00,Completed,Attended,2026-03-27,90,Passed
3,5001,1686,2026-02-15 12:45:00,Completed,Attended,2026-03-27,64,Failed
4,5001,1658,2026-03-14 16:30:00,Completed,Attended,2026-03-27,63,Failed
5,5001,1306,2026-02-22 09:30:00,Completed,Attended,2026-03-27,67,Failed
6,5001,1562,2026-02-07 16:45:00,Completed,Attended,2026-03-27,60,Failed
7,5001,1695,2026-02-06 13:15:00,Completed,Attended,2026-03-27,87,Passed
8,5001,1699,2026-03-09 15:45:00,Completed,Attended,2026-03-27,64,Failed
9,5001,1707,2026-02-05 14:30:00,Completed,Attended,2026-03-27,69,Failed
10,5001,1713,2026-03-20 16:15:00,Completed,Attended,2026-03-27,69,Failed
11,5001,1589,2026-02-17 16:00:00,Completed,Attended,2026-03-27,83,Passed
12,5001,1718,2026-03-08 14:15:00,Completed,Attended,2026-03-27,61,Failed
13,5001,1595,2026-02-08 12:45:00,Completed,Attended,2026-03-27,79,Passed
14,5001,1599,2026-02-15 13:45:00,Completed,Attended,2026-03-27,66,Failed
15,5001,1600,2026-03-06 11:45:00,Completed,Attended,2026-03-27,70,Passed
16,5001,1606,2026-02-27 12:15:00,Completed,Attended,2026-03-27,86,Passed
17,5001,1622,2026-03-19 15:15:00,Completed,Attended,2026-03-27,99,Passed
18,5001,1894,2026-02-01 09:15:00,Completed,Attended,2026-03-27,97,Passed
19,5001,1642,2026-02-27 14:15:00,Completed,Attended,2026-03-27,76,Passed
20,5001,1007,2026-03-16 10:15:00,Completed,Attended,2026-03-27,68,Failed
21,5001,1655,2026-03-17 16:15:00,Completed,Attended,2026-03-27,78,Passed
22,5001,1913,2026-03-13 11:00:00,Completed,Attended,2026-03-27,93,Passed
23,5001,1530,2026-03-15 09:45:00,Completed,Attended,2026-03-27,62,Failed
24,5002,1536,2025-02-09 11:00:00,InProgress,Attended,,,NotAssessed
25,5002,1794,2025-02-28 12:45:00,Completed,Attended,2025-03-31,73,Passed
26,5002,1223,2025-03-17 12:45:00,Completed,Attended,2025-03-31,72,Passed
27,5002,1709,2025-02-27 15:00:00,Completed,Attended,2025-03-31,82,Passed
28,5002,1619,2025-02-05 12:15:00,Completed,Attended,2025-03-31,72,Passed
29,5002,1523,2025-02-11 15:00:00,Completed,Attended,2025-03-31,73,Passed
30,5002,1683,2025-02-16 09:00:00,Completed,Attended,2025-03-31,74,Passed
31,5002,2038,2025-03-19 08:00:00,Completed,Attended,2025-03-31,73,Passed
32,5002,1687,2025-03-18 13:15:00,Completed,Attended,2025-03-31,83,Passed
33,5002,1595,2025-02-28 08:15:00,Completed,Attended,2025-03-31,72,Passed
34,5003,1825,2026-07-12 11:15:00,Completed,Attended,2026-07-21,87,Passed
35,5003,1890,2026-06-12 11:30:00,NoShow,Absent,,,NotAssessed
36,5003,1895,2026-07-01 08:45:00,Completed,Attended,2026-07-21,68,Failed
37,5003,1818,2026-06-24 13:45:00,Completed,Attended,2026-07-21,76,Passed
38,5003,1738,2026-07-03 15:15:00,Completed,Attended,2026-07-21,94,Passed
39,5003,1869,2026-06-29 08:15:00,Completed,Attended,2026-07-21,83,Passed
40,5003,1839,2026-06-26 09:15:00,Completed,Attended,2026-07-21,100,Passed
41,5003,1307,2026-06-20 16:00:00,Completed,Attended,2026-07-21,88,Passed
42,5003,1811,2026-06-13 14:00:00,NoShow,Absent,,,NotAssessed
43,5003,1786,2026-06-03 11:15:00,Completed,Attended,2026-07-21,67,Failed
44,5003,1851,2026-07-02 14:15:00,Completed,Attended,2026-07-21,85,Passed
45,5003,1212,2026-06-30 11:00:00,NoShow,Absent,,,NotAssessed
46,5003,1373,2026-06-20 16:45:00,NoShow,Absent,,,NotAssessed
47,5003,1182,2026-06-29 15:30:00,Completed,Attended,2026-07-21,76,Passed
48,5004,1984,2025-02-06 12:30:00,Completed,Attended,2025-03-24,68,Failed
49,5004,1409,2025-01-30 15:00:00,Completed,Attended,2025-03-24,68,Failed
50,5004,1445,2025-03-16 12:00:00,Completed,Attended,2025-03-24,69,Failed
51,5004,1543,2025-01-30 15:00:00,Completed,Attended,2025-03-24,80,Passed
52,5004,2090,2025-03-14 12:15:00,Completed,Attended,2025-03-24,65,Failed
53,5004,1387,2025-03-02 14:00:00,Completed,Attended,2025-03-24,78,Passed
54,5004,1519,2025-02-28 15:30:00,Completed,Attended,2025-03-24,84,Passed
55,5004,1939,2025-03-08 15:15:00,Completed,Attended,2025-03-24,83,Passed
56,5004,1332,2025-01-28 08:30:00,Completed,Attended,2025-03-24,70,Passed
57,5004,1366,2025-03-01 12:45:00,Completed,Attended,2025-03-24,73,Passed
58,5004,1371,2025-02-22 08:00:00,Completed,Attended,2025-03-24,81,Passed
59,5004,1468,2025-02-13 11:15:00,NoShow,Absent,,,NotAssessed
60,5004,1757,2025-02-20 10:30:00,Completed,Attended,2025-03-24,76,Passed
61,5005,1186,2025-04-12 14:30:00,Completed,Attended,2025-04-25,73,Passed
62,5005,1155,2025-04-06 14:00:00,Completed,Attended,2025-04-25,89,Passed
63,5005,1092,2025-03-14 16:30:00,Completed,Attended,2025-04-25,87,Passed
64,5005,1445,2025-03-23 12:30:00,Completed,Attended,2025-04-25,98,Passed
65,5005,1219,2025-03-28 12:15:00,Completed,Attended,2025-04-25,66,Failed
66,5005,1127,2025-03-12 11:45:00,Completed,Attended,2025-04-25,77,Passed
67,5005,1799,2025-04-08 08:30:00,Completed,Attended,2025-04-25,77,Passed
68,5005,1289,2025-04-02 09:00:00,Completed,Attended,2025-04-25,82,Passed
69,5005,1292,2025-03-30 14:30:00,Completed,Attended,2025-04-25,85,Passed
70,5005,1005,2025-04-11 13:45:00,Completed,Attended,2025-04-25,78,Passed
71,5005,2067,2025-02-28 15:15:00,Completed,Attended,2025-04-25,88,Passed
