TrainingEventId,TrainingProgramId,HostingBranchId,StartDate,EndDate,Capacity,EventStatus,DeliveryMethod
5001,10,3,2026-03-27,2026-03-27,30,Completed,Online
5002,7,3,2025-03-31,2025-03-31,20,Completed,Hybrid
5003,7,4,2026-07-21,2026-07-21,30,Completed,Hybrid
5004,9,2,2025-03-23,2025-03-24,20,Completed,Classroom
5005,6,1,2025-04-24,2025-04-25,20,Completed,Classroom
5006,1,6,2025-08-30,2025-08-30,30,Completed,Classroom
5007,12,1,2026-01-10,2026-01-12,40,Completed,Classroom
5008,1,5,2025-12-27,2025-12-27,50,Completed,Classroom
5009,5,2,2025-10-28,2025-10-30,30,Completed,Classroom
5010,6,2,2026-07-04,2026-07-05,25,Completed,Classroom
5011,2,1,2025-06-03,2025-06-03,30,Completed,Classroom
5012,10,3,2025-03-17,2025-03-17,50,Completed,Online
5013,9,2,2025-12-12,2025-12-13,20,Cancelled,Classroom
5014,8,5,2025-03-30,2025-04-01,40,Completed,Hybrid
5015,5,4,2026-03-24,2026-03-26,35,Completed,Classroom
5016,5,1,2025-01-26,2025-01-28,30,Completed,Online
5017,4,5,2025-05-04,2025-05-05,50,Completed,Classroom
5018,4,2,2025-03-11,2025-03-12,35,Completed,Classroom
5019,5,1,2025-06-12,2025-06-14,30,Completed,Online
5020,1,2,2026-03-08,2026-03-08,35,Completed,Hybrid
5021,3,6,2025-08-10,2025-08-11,50,Completed,Online
5022,5,1,2026-08-02,2026-08-04,50,Completed,Classroom
5023,5,4,2025-03-20,2025-03-22,40,Completed,Online
5024,8,5,2025-11-11,2025-11-13,50,Completed,Classroom
5025,11,2,2026-02-27,2026-03-01,40,Completed,Online
5026,5,6,2026-02-27,2026-03-01,20,Completed,Classroom
5027,10,2,2025-02-02,2025-02-02,20,Completed,Classroom
5028,2,2,2026-02-12,2026-02-12,35,Completed,Online
5029,10,6,2025-09-26,2025-09-26,40,Completed,Classroom
5030,5,3,2026-07-31,2026-08-02,50,Completed,Classroom
5031,4,4,2025-02-07,2025-02-08,35,Completed,Classroom
5032,6,4,2026-06-17,2026-06-18,20,Completed,Online
5033,10,6,2025-05-11,2025-05-11,20,Completed,Classroom
5034,5,1,2025-03-17,2025-03-19,20,Completed,Online
5035,1,6,2025-03-21,2025-03-21,40,Completed,Classroom
5036,4,1,2026-05-14,2026-05-15,20,Completed,Classroom
5037,2,3,2025-10-24,2025-10-24,20,Completed,Hybrid
5038,11,5,2026-04-27,2026-04-29,30,Completed,Hybrid
5039,6,6,2026-02-03,2026-02-04,20,Completed,Classroom
5040,5,2,2025-12-17,2025-12-19,25,Completed,Classroom
5041,5,6,2026-01-03,2026-01-05,35,Completed,Online
5042,12,1,2026-04-30,2026-05-02,35,Completed,Online
5043,6,6,2025-11-15,2025-11-16,40,Completed,Classroom
5044,6,2,2025-05-19,2025-05-20,20,Completed,Hybrid
5045,4,1,2026-04-18,2026-04-19,30,Completed,Online
5046,8,2,2025-01-22,2025-01-24,35,Completed,Hybrid
5047,12,5,2025-11-25,2025-11-27,30,Completed,Hybrid
5048,2,3,2025-12-24,2025-12-24,40,Completed,Classroom
5049,10,6,2025-07-05,2025-07-05,50,Completed,Hybrid
5050,2,4,2026-01-01,2026-01-01,50,Completed,Classroom
5051,7,4,2025-05-13,2025-05-13,40,Completed,Classroom
5052,7,4,2025-01-14,2025-01-14,20,Completed,Hybrid
5053,2,3,2025-06-18,2025-06-18,30,Completed,Classroom
5054,3,3,2025-11-04,2025-11-05,20,Completed,Hybrid
5055,11,4,2025-02-17,2025-02-19,25,Completed,Classroom
5056,10,4,2026-04-04,2026-04-04,50,Completed,Online
5057,12,3,2025-12-15,2025-12-17,20,Completed,Classroom
5058,1,2,2026-05-10,2026-05-10,40,Completed,Hybrid
5059,7,3,2025-12-01,2025-12-01,35,Completed,Online
5060,7,6,2025-07-10,2025-07-10,50,Completed,Hybrid
5061,10,3,2025-11-12,2025-11-12,30,Cancelled,Hybrid
5062,10,6,2026-07-14,2026-07-14,40,Completed,Online
5063,10,5,2026-06-12,2026-06-12,40,Completed,Classroom
5064,7,3,2025-04-09,2025-04-09,40,Completed,Classroom
5065,3,2,2025-11-27,2025-11-28,50,Completed,Classroom
5066,6,5,2026-03-16,2026-03-17,50,Completed,Classroom
5067,3,5,2026-07-20,2026-07-21,30,Completed,Hybrid
5068,7,5,2025-05-28,2025-05-28,35,Completed,Online
5069,2,1,2025-01-07,2025-01-07,35,Completed,Classroom
5070,1,2,2025-11-19,2025-11-19,30,Completed,Classroom
5071,5,1,2026-02-16,2026-02-18,25,Completed,Classroom
5072,2,2,2025-12-22,2025-12-22,20,Completed,Online
5073,10,6,2026-01-08,2026-01-08,25,Completed,Classroom
5074,6,4,2026-06-25,2026-06-26,40,Completed,Classroom
5075,3,1,2026-07-15,2026-07-16,30,Completed,Classroom
5076,1,1,2026-08-25,2026-08-25,25,Completed,Classroom
5077,3,2,2026-05-08,2026-05-09,35,Completed,Classroom
5078,3,1,2025-02-09,2025-02-10,40,Completed,Online
5079,12,5,2025-08-25,2025-08-27,20,Completed,Classroom
5080,1,6,2026-04-24,2026-04-24,40,Completed,Hybrid
5081,7,6,2025-03-31,2025-03-31,50,Completed,Classroom
5082,6,2,2025-07-13,2025-07-14,20,Completed,Classroom
5083,12,1,2025-12-30,2026-01-01,40,Cancelled,Hybrid
5084,5,1,2026-07-07,2026-07-09,20,Completed,Classroom
5085,11,6,2025-10-12,2025-10-14,50,Completed,Online
5086,6,5,2025-01-11,2025-01-12,40,Completed,Classroom
5087,6,2,2026-01-19,2026-01-20,20,Completed,Online
5088,6,6,2025-06-22,2025-06-23,40,Completed,Classroom
5089,10,2,2025-07-13,2025-07-13,40,Completed,Online
5090,9,6,2025-03-29,2025-03-30,30,Completed,Classroom
5091,8,2,2025-11-12,2025-11-14,30,Completed,Online
5092,12,1,2026-01-02,2026-01-04,30,Completed,Hybrid
5093,12,4,2025-07-04,2025-07-06,40,Completed,Hybrid
5094,7,2,2026-03-29,2026-03-29,40,Completed,Classroom
5095,4,2,2025-05-02,2025-05-03,35,Completed,Online
5096,11,3,2025-04-29,2025-05-01,30,Completed,Online
5097,2,2,2025-10-24,2025-10-24,50,Completed,Classroom
5098,1,2,2026-02-16,2026-02-16,30,Completed,Online
5099,5,2,2025-09-04,2025-09-06,35,Completed,Hybrid
5100,8,4,2025-08-24,2025-08-26,35,Completed,Online
5101,7,3,2025-04-28,2025-04-28,40,Completed,Classroom
5102,1,5,2026-03-25,2026-03-25,40,Completed,Hybrid
5103,3,4,2025-10-07,2025-10-08,40,Completed,Hybrid
5104,3,4,2025-10-25,2025-10-26,30,Completed,Classroom
5105,12,6,2026-07-23,2026-07-25,40,Completed,Classroom
5106,5,2,2026-05-11,2026-05-13,25,Completed,Hybrid
5107,1,1,2026-03-19,2026-03-19,25,Completed,Online
5108,8,3,2025-10-25,2025-10-27,35,Completed,Online
5109,4,3,2025-12-01,2025-12-02,30,Cancelled,Hybrid
5110,7,1,2026-05-08,2026-05-08,40,Completed,Classroom
5111,5,2,2025-12-07,2025-12-09,25,Completed,Online
5112,10,1,2025-10-25,2025-10-25,35,Completed,Hybrid
5113,4,2,2025-02-11,2025-02-12,30,Completed,Hybrid
5114,6,2,2026-04-08,2026-04-09,20,Completed,Hybrid
5115,12,4,2026-07-16,2026-07-18,50,Completed,Classroom
5116,10,1,2025-03-16,2025-03-16,30,Completed,Classroom
5117,6,2,2025-04-16,2025-04-17,20,Completed,Classroom
5118,2,6,2025-04-18,2025-04-18,40,Completed,Hybrid
5119,12,3,2025-08-17,2025-08-19,35,Completed,Hybrid
5120,3,3,2025-07-19,2025-07-20,30,Completed,Online
5121,11,5,2026-07-03,2026-07-05,40,Completed,Online
5122,2,6,2025-03-10,2025-03-10,20,Completed,Classroom
5123,2,2,2025-07-03,2025-07-03,25,Completed,Classroom
5124,11,1,2025-09-26,2025-09-28,50,Completed,Classroom
5125,5,5,2026-02-13,2026-02-15,40,Cancelled,Online
5126,4,1,2025-06-14,2025-06-15,30,Completed,Classroom
5127,7,2,2025-04-03,2025-04-03,20,Completed,Online
5128,10,5,2025-06-26,2025-06-26,40,Completed,Hybrid
5129,8,5,2025-05-25,2025-05-27,50,Completed,Classroom
5130,11,3,2026-05-19,2026-05-21,40,Completed,Classroom
5131,4,5,2026-04-27,2026-04-28,40,Completed,Classroom
5132,2,4,2025-03-19,2025-03-19,20,Completed,Hybrid
5133,1,3,2026-03-23,2026-03-23,30,Completed,Hybrid
5134,3,2,2025-07-01,2025-07-02,40,Completed,Classroom
5135,9,6,2025-12-28,2025-12-29,35,Completed,Online
5136,3,6,2025-05-08,2025-05-09,30,Completed,Online
5137,8,5,2026-05-22,2026-05-24,20,Completed,Hybrid
5138,3,6,2025-07-14,2025-07-15,50,Completed,Classroom
5139,7,5,2026-08-21,2026-08-21,30,Completed,Hybrid
5140,2,5,2025-10-08,2025-10-08,30,Completed,Classroom
5141,8,4,2025-05-15,2025-05-17,35,Completed,Online
5142,12,6,2025-04-16,2025-04-18,50,Completed,Hybrid
5143,6,5,2026-04-20,2026-04-21,40,Completed,Online
5144,12,3,2025-04-11,2025-04-13,20,Completed,Classroom
5145,5,4,2026-08-11,2026-08-13,40,Completed,Classroom
5146,12,2,2025-08-02,2025-08-04,20,Completed,Online
5147,12,6,2025-04-11,2025-04-13,35,Completed,Classroom
5148,7,2,2025-11-07,2025-11-07,25,Completed,Online
5149,12,5,2026-04-18,2026-04-20,50,Completed,Online
5150,11,6,2025-05-10,2025-05-12,25,Completed,Classroom
5151,8,2,2026-01-18,2026-01-20,30,Completed,Online
5152,9,2,2025-10-07,2025-10-08,35,Completed,Classroom
5153,12,3,2025-10-23,2025-10-25,40,Completed,Classroom
5154,12,5,2025-09-17,2025-09-19,35,Completed,Hybrid
5155,6,3,2025-06-12,2025-06-13,25,Completed,Hybrid
5156,2,4,2025-07-16,2025-07-16,40,Completed,Hybrid
5157,7,5,2026-02-13,2026-02-13,30,Completed,Hybrid
5158,10,4,2026-02-23,2026-02-23,30,Completed,Classroom
5159,5,1,2025-09-07,2025-09-09,35,Completed,Online
5160,4,4,2026-01-07,2026-01-08,20,Completed,Online
5161,2,2,2025-06-01,2025-06-01,30,Completed,Classroom
5162,8,5,2025-11-03,2025-11-05,35,Completed,Hybrid
5163,2,1,2025-05-18,2025-05-18,50,Completed,Online
5164,5,2,2025-03-10,2025-03-12,40,Completed,Classroom
5165,11,4,2025-01-30,2025-02-01,35,Completed,Classroom
5166,3,3,2026-05-27,2026-05-28,40,Completed,Hybrid
5167,7,2,2025-10-26,2025-10-26,50,Completed,Classroom
5168,6,4,2025-08-04,2025-08-05,40,Completed,Classroom
5169,7,4,2025-12-13,2025-12-13,50,Completed,Classroom
5170,11,5,2025-09-17,2025-09-19,40,Completed,Hybrid
5171,8,6,2026-08-27,2026-08-29,40,Completed,Online
5172,8,1,2025-11-26,2025-11-28,40,Completed,Classroom
5173,5,2,2025-11-27,2025-11-29,35,Completed,Hybrid
5174,2,5,2025-10-07,2025-10-07,40,Completed,Online
5175,12,2,2026-04-12,2026-04-14,40,Completed,Online
5176,6,6,2026-05-15,2026-05-16,40,Completed,Classroom
5177,6,6,2025-10-18,2025-10-19,50,Completed,Online
5178,3,1,2025-09-25,2025-09-26,50,Completed,Hybrid
5179,10,2,2025-11-08,2025-11-08,50,Completed,Online
5180,9,6,2026-01-24,2026-01-25,40,Completed,Online
5181,8,1,2025-12-27,2025-12-29,30,Completed,Classroom
5182,8,3,2025-05-14,2025-05-16,30,Completed,Online
5183,11,5,2025-08-11,2025-08-13,35,Cancelled,Hybrid
5184,10,5,2026-02-21,2026-02-21,25,Completed,Online
5185,7,3,2026-04-16,2026-04-16,35,Completed,Classroom
5186,6,2,2025-10-24,2025-10-25,35,Completed,Classroom
5187,9,2,2025-09-18,2025-09-19,35,Cancelled,Online
5188,11,2,2026-08-08,2026-08-10,30,Completed,Online
5189,11,1,2025-11-09,2025-11-11,30,Completed,Classroom
5190,7,1,2025-08-24,2025-08-24,30,Completed,Online
5191,9,4,2025-09-21,2025-09-22,50,Completed,Online
5192,4,1,2025-08-22,2025-08-23,25,Completed,Classroom
5193,5,5,2026-07-11,2026-07-13,20,Completed,Hybrid
5194,4,3,2025-08-21,2025-08-22,30,Cancelled,Classroom
5195,7,4,2025-10-25,2025-10-25,20,Completed,Online
5196,7,4,2025-07-04,2025-07-04,20,Completed,Classroom
5197,8,2,2025-07-04,2025-07-06,50,Completed,Online
5198,7,5,2025-04-15,2025-04-15,40,Completed,Classroom
5199,8,6,2025-03-28,2025-03-30,25,Completed,Hybrid
5200,7,6,2025-03-09,2025-03-09,30,Completed,Classroom
5201,6,1,2025-07-05,2025-07-06,40,Completed,Online
5202,1,6,2025-05-28,2025-05-28,40,Completed,Classroom
5203,9,2,2025-11-17,2025-11-18,20,Completed,Classroom
5204,6,4,2026-03-10,2026-03-11,25,Completed,Online
5205,2,6,2025-11-04,2025-11-04,50,Completed,Classroom
5206,2,2,2026-08-03,2026-08-03,40,Cancelled,Classroom
5207,11,4,2026-01-13,2026-01-15,40,Completed,Hybrid
5208,6,3,2026-08-08,2026-08-09,35,Completed,Classroom
5209,10,2,2025-04-13,2025-04-13,30,Completed,Online
5210,1,4,2025-10-01,2025-10-01,40,Completed,Hybrid
5211,10,2,2026-08-30,2026-08-30,35,Completed,Online
5212,11,6,2025-11-20,2025-11-22,35,Completed,Online
5213,12,6,2026-06-01,2026-06-03,20,Completed,Online
5214,1,3,2025-10-02,2025-10-02,35,Completed,Classroom
5215,6,6,2026-03-01,2026-03-02,40,Completed,Online
5216,4,4,2026-02-01,2026-02-02,35,Completed,Classroom
5217,4,5,2025-07-27,2025-07-28,40,Completed,Classroom
5218,2,6,2025-12-02,2025-12-02,20,Completed,Online
5219,10,1,2025-11-24,2025-11-24,35,Completed,Online
5220,3,2,2026-05-13,2026-05-14,30,Completed,Classroom
5221,9,4,2026-07-15,2026-07-16,40,Completed,Classroom
5222,3,5,2025-08-10,2025-08-11,30,Completed,Classroom
5223,9,6,2025-11-13,2025-11-14,30,Completed,Classroom
5224,3,2,2025-07-11,2025-07-12,35,Completed,Hybrid
5225,12,3,2026-08-13,2026-08-15,40,Completed,Classroom
5226,7,1,2026-01-02,2026-01-02,40,Completed,Online
5227,5,1,2025-03-10,2025-03-12,25,Completed,Hybrid
5228,8,3,2025-05-09,2025-05-11,30,Completed,Classroom
5229,7,1,2026-05-16,2026-05-16,35,Completed,Hybrid
5230,10,3,2026-07-17,2026-07-17,25,Completed,Classroom
5231,4,3,2025-04-29,2025-04-30,20,Completed,Classroom
5232,5,1,2026-01-15,2026-01-17,50,Completed,Online
